epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,4990.25,1.38798,0.96182,1.27524,0.71779,0.43744,0.45917,0.27608,1.41229,0.88237,1.34734,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5097.22,1.38533,0.95702,1.27438,0.77708,0.41571,0.46937,0.28424,1.41717,0.86959,1.35673,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5209.4,1.38376,0.94515,1.2735,0.68833,0.43939,0.45317,0.27757,1.42256,0.86523,1.358,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5320.63,1.38533,0.95053,1.26832,0.67856,0.46767,0.46328,0.28158,1.41757,0.86374,1.34917,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5432.01,1.37536,0.9442,1.26144,0.7135,0.45089,0.47119,0.28033,1.41693,0.86588,1.34357,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5551.93,1.36615,0.93515,1.25781,0.69394,0.45945,0.47484,0.28344,1.42073,0.86337,1.34787,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5667.05,1.37092,0.93284,1.2561,0.69413,0.44863,0.46536,0.28254,1.41881,0.85862,1.3453,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5784.37,1.36061,0.92613,1.25029,0.69439,0.46709,0.4682,0.28446,1.41821,0.85867,1.34611,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5899.98,1.35737,0.91736,1.25189,0.70268,0.45549,0.46692,0.28323,1.41586,0.85345,1.34477,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6017.43,1.35182,0.91189,1.25013,0.68387,0.47362,0.46714,0.28385,1.41521,0.85173,1.34507,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6130.08,1.35185,0.91601,1.24583,0.70372,0.46696,0.46852,0.28468,1.41686,0.8477,1.34605,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6243.81,1.34632,0.90269,1.2435,0.71014,0.46407,0.46439,0.28274,1.41918,0.84563,1.34702,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6359.36,1.343,0.89909,1.24394,0.72364,0.46536,0.46726,0.28435,1.41989,0.84231,1.34754,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6461.98,1.34082,0.89285,1.24273,0.71066,0.46015,0.469,0.28569,1.4183,0.84092,1.34679,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
